set ID,condition,set location,tag,note
1,MEF_LMNA--,C:\Users\Username\Downloads\Supplementary Data\Example segmented images\MEF_LMNA--,c1,lamin A knockout
2,MEF_wildtype,C:\Users\Username\Downloads\Supplementary Data\Example segmented images\MEF_wildtype,c1,wildtype control
