ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
5,1,7409,254.0,267.0,1.0,1.0285179899217989,0.5600435767517681,1.0,0.7622427983539095,0.8087361559235867,107.10569472819216,111.97321108193691,42.95346318982906,15.44706067915426,13.892443989449804,87.00688480417965,88.73312131704039,68.11407002683916,339.29799999999926,0.9598393574297187,251.849237413956,265.2548252125793,0,1
5,2,6110,69.0,424.0,1.0,1.1968403412924735,0.6295874713919947,1.0,0.6943181818181818,0.29938690922707406,107.59599227386092,101.24228365658294,26.68332812825267,9.6818097913787,7.905124837953327,83.16923351290514,83.59451210518598,-89.31131730105547,506.4179999999983,0.8473753553845087,55.35875613747954,418.414566284779,0,2
5,3,4477,1165.0,444.0,1.0,1.6258511594325735,0.7781098500907901,1.0,0.42343705665374065,0.2036586080335532,115.11164693039451,112.64102272262978,21.2602916254693,6.583213500380544,5.830951894845301,76.53057668997262,72.30487392717929,29.950594475080713,525.5899999999984,0.6631610131832321,1141.3301317846772,427.5244583426402,0,3
5,4,7093,354.0,436.0,1.0,2.3440998380665317,0.9531721898732637,1.0,0.23750209275071155,0.20540410362909264,196.57669572203235,221.60324907365415,26.68332812825267,8.756325739147783,7.280109889280518,73.23548695390582,59.450323345782095,36.21915048578773,658.7419999999975,0.6451407521942789,380.771323840406,447.4538277174679,0,4
6,1,4777,125.0,400.0,1.0,1.5208506321910447,0.7892269644970081,1.0,0.48744897959183675,0.25339589921667277,115.72731961244514,109.80892495603443,22.360679774997898,7.090125258573718,6.324555320336759,76.65760452419946,71.06833434147201,34.73250743421716,486.7239999999988,0.7326687116564418,102.63114925685576,383.7109064266276,0,1
6,2,2234,1160.0,590.0,1.0,1.029341368177838,0.6039414855226294,1.0,0.7537112010796221,0.8787376708274617,59.79576874264169,60.207972893961475,23.706539182259394,8.814598618437909,7.905124837953327,47.37615433949868,47.65894132970958,-35.838831314154895,178.73799999999983,0.9708822251195133,1158.9131602506714,589.3916741271262,0,2
7,1,5900,846.0,250.0,1.0,1.1634683154923133,0.756629011159753,1.0,0.5710414246999613,0.38568576774317154,110.49155735940356,125.19584657647394,31.144823004794873,11.079240584015412,9.667845391150621,72.2715973518213,72.24428941154976,-84.71295159491419,438.44399999999854,0.8817156093551523,843.8069491525424,242.22813559322034,0,1
7,2,14545,872.0,445.0,1.0,1.057243698573415,0.5535520676374717,1.0,0.6799906498363721,0.5566095863337891,151.78147751469695,162.16349774224778,57.0350769263968,19.421984317570747,17.029386365926403,131.01336206471856,126.40582596772805,-87.59096373627126,573.0419999999981,0.9217363751584285,867.5399793743554,446.7566173942936,0,2
7,3,2370,120.0,543.0,1.0,1.0302743970223138,0.6059513473974868,1.0,0.7452830188679245,0.8815143590038915,61.65956333061298,62.177166226839255,24.186773244895647,9.071868717452762,8.06225774829855,48.08326112068523,49.05028783382698,-34.93191850402953,183.8079999999998,0.971709717097171,118.40675105485232,543.8759493670887,0,3
7,4,8035,360.0,630.0,1.0,1.118477884983206,0.632376975005791,1.0,0.6180769230769231,0.3920030287290335,119.3986835830765,135.9779393872403,35.90264614203248,12.96941419349955,11.40175425099138,96.76038413274891,92.49348023862463,-8.339759943864076,507.5199999999985,0.7929145902205554,372.4901057871811,630.0604853764779,0,4
7,5,9245,884.0,660.0,1.0,1.3133292528445741,0.8226673457790349,1.0,0.5663440333251654,0.2577005204292951,152.59070298099164,153.16004700965587,32.01562118716424,10.700253445457319,9.219544457292887,94.13574486632834,86.75132915058971,-10.509003116691403,671.4299999999976,0.8387389430709912,915.2522444564629,660.9141157382369,0,5
7,6,5694,1197.0,642.0,1.0,1.5255626314674124,0.8875324971398192,1.0,0.44736015084852293,0.32306800538808755,134.85682602474188,147.41099009232656,26.92582403567252,9.502490848031657,8.246211251235321,68.82703130342583,62.1346246237801,-78.56752965909452,470.61599999999873,0.7793060973106138,1201.556023884791,638.8582718651212,0,6
8,1,4756,303.0,497.0,1.0,1.0013039839264704,0.2283159797695641,1.0,0.772077922077922,0.8751312111927819,78.80204188563329,79.90619500389191,37.16180835212409,13.03535881966749,11.40175425099138,75.90925756859558,76.72065030421666,-83.68082133233308,261.3299999999995,0.975789905621666,303.71656854499577,495.98864592094196,0,1
8,2,5670,156.0,597.0,1.0,1.5669315573389122,0.8985267847699209,1.0,0.4433497536945813,0.32341105771474377,137.50079544764674,146.4923206178399,26.570660511172846,9.442042213864372,8.06225774829855,69.30706386595894,60.35166910890821,-77.56778552492722,469.3739999999988,0.7724269463932975,161.48289241622575,593.2657848324515,0,2
8,3,7538,338.0,741.0,1.0,1.1960462065563935,0.6422063565893757,1.0,0.5258091517857143,0.2886059765640081,120.06072862206683,135.66502865514016,33.13608305156178,10.720637737724955,8.94427190999916,111.0,92.03036603976554,27.548926692324653,572.9019999999981,0.7103614003675259,342.0343592464845,738.1560095516052,0,3
9,1,2791,1131.0,768.0,1.0,1.0037032410408082,0.36195784807620357,1.0,0.750268817204301,0.8763802647107921,61.72399696141346,62.20128616033595,28.284271247461902,10.027196074996883,8.94427190999916,56.8,57.53876818074109,32.64852937923564,200.04999999999967,0.9706138062945572,1131.4012898602653,767.9663203152992,0,1
10,1,4290,1208.0,414.0,1.0,1.5426302120199844,0.9154711286086672,1.0,0.559322033898305,0.3520309684506919,120.24584464830288,132.43866504914644,24.041630560342615,8.656676178525512,7.615773105863909,50.59644256269407,48.384963495060944,72.2979731269043,391.3299999999992,0.8540712721481188,1208.4713286713286,403.25384615384615,0,1
10,2,4140,850.0,641.0,1.0,1.1166145128153528,0.7139989508778216,1.0,0.5686813186813187,0.6758935702370159,88.76510683894233,95.85927185202274,29.966648127543394,10.446659037211324,9.219544457292887,64.31988074323155,62.14860275349346,-55.59605882982335,277.4379999999993,0.9045226130653267,845.5937198067633,642.963768115942,0,2
10,3,2187,91.0,722.0,1.0,1.0037416626328524,0.3533486818589839,1.0,0.7363636363636363,0.8675934052396008,54.56097875024805,54.817880294662984,24.839484696748443,8.896906685081552,7.810249675906654,49.80634629389653,51.04134242236472,36.67130210091103,177.97999999999982,0.9642857142857145,91.8180155464106,722.774577046182,0,3
11,1,2228,1212.0,191.0,1.0,1.351460520935958,0.8650436806691735,1.0,0.4890254609306409,0.3234830455808993,78.18540830542403,80.8084154033477,16.492422502470642,6.327498554593401,5.656854249492381,39.51431007362832,39.22534978268395,-45.91053860329543,294.1959999999992,0.8570879015195233,1215.1265709156194,190.8644524236984,0,1
11,2,12867,262.0,244.0,1.0,1.2870090370754985,0.8056329383142351,1.0,0.5983259707044873,0.16050477996965007,176.3468613575352,188.86238376129853,35.05709628591621,12.148203378675545,10.44030650891055,108.60450103168745,104.47053130043557,87.88353241008251,1003.6899999999964,0.783069105072574,256.449055723945,265.87168726198803,0,2
11,3,3006,542.0,406.0,1.0,1.5568749342156438,0.8230626750328809,1.0,0.5138461538461538,0.20225050190760144,94.80070611466671,89.67719888578144,15.620499351813308,5.324562490698559,4.47213595499958,57.91331706592173,53.84211365579809,-80.94197595817113,432.16999999999865,0.7029112592072957,550.9171656686626,405.5808383233533,0,3
11,4,4525,946.0,419.0,1.0,2.3699897139816004,0.9546713171289534,1.0,0.5316024436090225,0.26696768027047074,158.1036636877724,151.0529708413575,19.6468827043885,6.904099078490414,6.324555320336759,54.93705345879053,47.061455398318465,-89.98481305360613,461.51399999999865,0.6812707015959049,947.1443093922652,451.53259668508286,0,4
11,5,12286,891.0,589.0,1.0,1.1449227363351189,0.6861116039041897,1.0,0.5654975605265581,0.30320747611901916,152.77142058789073,163.835283135227,44.384682042344295,14.678035926866459,12.083045973594572,121.76307281618406,111.1406432732381,35.44391712860469,713.5759999999973,0.7927730279077269,885.4195018720495,577.3337945629171,0,5
11,6,2130,1060.0,627.0,1.0,1.1812979141182178,0.8172156060343071,1.0,0.6972176759410802,0.7627858388165075,69.29144222860157,65.80273550544841,19.026297590440446,7.667033572842426,7.0710678118654755,40.3683153593973,39.93488023331595,17.921439980450767,187.32399999999978,0.9360580092287409,1048.0600938967136,623.4788732394367,0,6
11,7,5633,647.0,740.0,1.0,1.121819582581453,0.7210690563733274,1.0,0.6801497222893021,0.6810195023702267,104.11857922709822,107.07474025184464,32.449961479175904,12.219540833436964,11.0,71.814022939491,72.1399321350153,-71.05696518366348,322.3999999999993,0.9117099619648781,641.2614947630037,740.5955973726255,0,7
11,8,2114,1228.0,869.0,1.0,1.4191233932839755,0.8038080566263256,1.0,0.4077932098765432,0.1850439140576401,75.0415065309159,89.87213138676528,15.811388300841896,4.70963584913708,3.605551275463989,47.02742045615923,44.641346960328605,-39.54172026211875,378.89599999999876,0.7339003645200486,1222.240302743614,871.062440870388,0,8
12,1,6161,826.0,301.0,1.0,1.1421794940557588,0.6899437721103172,1.0,0.5013834635416666,0.3597657512263271,108.27238417704493,127.1416532848303,33.24154027718932,10.957802382451403,9.219544457292887,86.6640857223787,78.3743689802483,58.119638998770114,463.8959999999986,0.7411283531817635,823.7625385489368,301.8901152410323,0,1
12,2,9150,753.0,464.0,1.0,1.209425794819526,0.7920456854823597,1.0,0.5858999807901646,0.2857953965179939,143.03410454443792,166.97305171793442,39.45883931389772,13.516861353512523,11.661903789690601,88.98760929171208,87.31685959846357,-78.87888954120864,634.2899999999979,0.8027724162133709,757.7157377049181,470.73333333333335,0,2
12,3,10495,396.0,514.0,1.0,1.1549080148282096,0.5606405887476651,1.0,0.47830644426214564,0.3630720407861102,135.08010685095766,171.618763542918,43.08131845707603,14.415436386704975,12.36931687685298,118.98138725106503,111.8543326816414,-26.478231800176612,602.697999999998,0.6930594994386845,392.9681753215817,510.8371605526441,0,3
13,1,6176,712.0,330.0,1.0,1.8386698791761724,0.8304608641551204,1.0,0.4376417233560091,0.07776006479719996,148.2955351204725,148.18906842274163,15.811388300841896,4.891116425884687,4.123105625617661,94.88976096485193,82.61202771581797,-74.10639208618309,999.0339999999965,0.5875749215107983,688.8204339378239,362.56865284974094,0,1
13,2,5097,319.0,408.0,1.0,1.0070490373356589,0.33504626247199526,1.0,0.79640625,0.7091203250730945,83.10078802727912,85.70297544426332,33.015148038438355,12.145302471091787,10.770329614269007,77.85422588276681,78.29770192143384,-53.286368819377635,300.53999999999934,0.9702103359664985,313.4944084755739,404.61114381008434,0,2
13,3,16520,371.0,775.0,1.0,1.2919372588115445,0.622839101789387,1.0,0.474058769513315,0.21848645009655834,183.25909442227996,225.3619311241364,52.88667128870941,16.048410949201646,13.341664064126334,166.01667898396613,143.37274441441727,45.27320324488607,974.7599999999962,0.6915895675472014,370.75399515738496,768.1908595641646,0,3
13,4,2512,470.0,962.0,1.0,1.8137290574917897,0.93527984016525,1.0,0.38456827924066134,0.2739121813322807,101.40139546493965,104.62313319720452,15.811388300841896,5.709868192849382,5.0,38.39409147073583,35.88687224086732,-58.415679110107995,339.475999999999,0.7998726317465373,475.5238853503185,960.2782643312102,0,4
15,1,5808,390.0,540.0,1.0,1.23402050996227,0.8094146222111981,1.0,0.6289798570500325,0.567533732684756,116.31606009434553,115.95257651298655,30.0,11.27881436006445,10.198039027185569,76.59112461828836,68.30516104937604,9.382561433023232,358.6099999999992,0.864478678276401,388.1637396694215,545.2605027548209,0,1
15,2,5742,382.0,643.0,1.0,1.3949062647782204,0.8875337910537959,1.0,0.6083916083916084,0.6180646932208059,129.49975911254012,124.61942063739504,28.160255680657446,10.916506855687555,10.0,63.67446717558831,59.66605940652187,-19.72145057837562,341.6799999999991,0.9031852143138025,390.7445141065831,638.2967607105538,0,2
15,3,20895,371.0,840.0,1.0,1.1230741674451634,0.5833045576577811,1.0,0.576095947063689,0.48904640235855057,189.37568483586432,200.48940121612415,58.309518948453004,21.33992315600135,18.788294228055936,161.96347395802462,153.82106803992286,-37.701337480701106,732.7419999999975,0.8330343260375552,376.31251495573105,855.4515434314429,0,3
16,1,4397,693.0,537.0,1.0,1.2252178951683668,0.6920167717112204,1.0,0.5143291613054158,0.40733662291439376,94.83745307290785,105.01904589168576,25.495097567963924,8.783332168442975,7.810249675906654,75.56775759220953,68.46139549900167,9.610025755778045,368.30399999999906,0.8040596141537899,695.0282010461679,536.83989083466,0,1
16,2,6323,805.0,578.0,1.0,1.1383987045818433,0.6943863560906521,1.0,0.5859512556760264,0.4860903167299267,109.72528773549038,114.76933388322858,33.97057550292606,12.16249579669226,11.0,87.68224066902825,78.95857844259064,39.69061793759532,404.303999999999,0.8694994499449945,795.0096473193105,571.9264589593547,0,2
17,1,4651,1024.0,84.0,1.0,1.0613103560034958,0.6351282455848708,1.0,0.6358168147641832,0.5592888286017583,88.61245936880074,98.97979591815695,30.4138126514911,10.555752466557289,9.219544457292887,69.04891173935604,68.44485740342272,-54.27440892667405,323.26599999999917,0.9018809385301534,1030.0606321221242,75.86798537948829,0,1
