Filename,ImageID,ObjectID,X,Y,Area,Perimeter,Major Axis,Minor Axis,Circularity,Aspect Ratio,Shape mode,Distance from cluster center,Probability of shape mode 1,Probability of shape mode 2,Probability of shape mode 3,Probability of shape mode 4,Probability of shape mode 5
xy001c1.tiff,1,1,235,374,15045,670.6894295625948,143.1187539230017,137.4301843645811,0.420299751037058,1.0413924319808063,5.0,3.44,0.1956,0.1808,0.1956,0.2089,0.219
xy001c1.tiff,1,2,796,330,6635,333.1198410471445,103.87238634326687,82.33817720482753,0.7513629742141325,1.261533712179103,1.0,1.8,0.1636,0.2071,0.184,0.2335,0.2119
xy001c1.tiff,1,3,471,539,8053,339.84776310850236,109.99209500933031,93.92659062127191,0.8761908865318385,1.171043197477882,1.0,1.42,0.1933,0.1729,0.1616,0.2832,0.1891
xy001c1.tiff,1,4,1069,810,7696,566.9432175380073,140.78911110064698,85.71093796955061,0.30088171429287125,1.6426037847195565,3.0,4.82,0.1905,0.1961,0.2343,0.1856,0.1935
xy002c1.tiff,2,1,745,39,3261,218.40916292848976,71.22646593722365,58.87026079641236,0.8590510125197697,1.209888744735513,1.0,1.14,0.1927,0.1958,0.1591,0.272,0.1804
xy002c1.tiff,2,2,623,94,8503,547.1858582251266,156.7011033023877,82.68648596757309,0.3568718676333105,1.8951235074113648,2.0,3.63,0.2433,0.2064,0.2087,0.1762,0.1654
xy002c1.tiff,2,3,501,74,9079,400.91883092036784,123.11238182352649,99.7514645870388,0.7097983240155162,1.2341912204818202,1.0,2.09,0.2179,0.2064,0.1695,0.2219,0.1843
xy002c1.tiff,2,4,663,215,13346,588.9848480983499,181.6604838070858,103.15502309003547,0.4834513079395729,1.7610435087444012,3.0,2.9,0.1802,0.1957,0.2333,0.1944,0.1964
xy002c1.tiff,2,5,987,280,4703,256.0071426749364,78.51888828847737,76.52230831101144,0.9017386360235236,1.0260914760876156,1.0,2.15,0.1791,0.1871,0.162,0.2859,0.186
xy002c1.tiff,2,6,1186,414,9239,815.222438151586,192.13527501813422,97.52761845268078,0.1746958474274039,1.9700601538973899,2.0,5.81,0.2211,0.1843,0.2168,0.179,0.1989
xy002c1.tiff,2,7,408,755,25454,724.1452736853105,202.57890481437093,163.47045384118013,0.6099784651221695,1.2392386517210423,1.0,3.36,0.183,0.1736,0.2059,0.2336,0.2039
xy003c1.tiff,3,1,626,256,13723,904.8559518039654,186.52440517772575,100.89639080559999,0.21062020572551876,1.8486727194940773,2.0,9.86,0.2106,0.2013,0.1959,0.1933,0.1988
xy003c1.tiff,3,2,500,332,9056,445.5939751330899,110.79706965825376,106.85348831104356,0.5731491565433326,1.0369064352464628,5.0,3.12,0.2003,0.1959,0.1602,0.2182,0.2254
xy003c1.tiff,3,3,152,369,8418,825.216341497176,184.63333308467747,100.12692433667044,0.15533994472058796,1.8439928551471287,3.0,5.89,0.2114,0.1991,0.2125,0.1811,0.196
xy004c1.tiff,4,1,1096,465,5744,520.7005768508882,105.85320259540676,83.36550069407535,0.2662245966073837,1.2697482977263468,2.0,6.92,0.2153,0.1942,0.1974,0.1849,0.2083
xy004c1.tiff,4,2,624,527,4869,265.1787155501902,79.24849661522764,78.47807845454534,0.8701063000629402,1.0098169855309151,1.0,1.79,0.1836,0.1781,0.1483,0.3062,0.1838
xy004c1.tiff,4,3,888,584,3786,277.1787155501902,92.18310784117901,55.59229766921465,0.6192567053215724,1.658199277707265,3.0,2.01,0.1812,0.1858,0.2574,0.1888,0.1868
xy004c1.tiff,4,4,598,648,19298,760.8021279348029,203.3301669040204,135.15920667657622,0.4189659501816848,1.5043752616169983,2.0,4.16,0.2141,0.2009,0.1926,0.1951,0.1974
xy004c1.tiff,4,5,1008,798,18410,1076.9930367938127,215.59784638566302,142.77747758228782,0.1994517548288878,1.5100270017125512,2.0,5.9,0.2446,0.1746,0.1822,0.1932,0.2054
