set ID,condition,set location,tag,note
1,MEF_LMNA--,C:\Users\kuki\PycharmProjects\VAMPIRE_open_edit\Example Dataset\Example segmented images\MEF_LMNA--,c1,lamin A knockout
2,MEF_wildtype,C:\Users\kuki\PycharmProjects\VAMPIRE_open_edit\Example Dataset\Example segmented images\MEF_wildtype,c1,wildtype control
